"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2018-12-27 00:00:00+00:00",44,15,27225,False,"1d",0.34091,"2019-03-06 00:01:52.941049+00:00"
"2018-12-28 00:00:00+00:00",47,15,27226,False,"1d",0.31915,"2019-03-06 00:01:52.944475+00:00"
"2018-12-29 00:00:00+00:00",40,14,27227,False,"1d",0.35000,"2019-03-06 00:01:52.948621+00:00"
"2018-12-30 00:00:00+00:00",35,9,27228,False,"1d",0.25714,"2019-03-06 00:01:52.951587+00:00"
"2018-12-31 00:00:00+00:00",32,12,27229,False,"1d",0.37500,"2019-03-06 00:01:52.954830+00:00"
"2019-01-01 00:00:00+00:00",37,15,27230,False,"1d",0.40541,"2019-03-06 00:01:52.957745+00:00"
"2019-01-02 00:00:00+00:00",39,15,27231,False,"1d",0.38462,"2019-03-06 00:01:52.960914+00:00"
"2019-01-03 00:00:00+00:00",40,10,27232,False,"1d",0.25000,"2019-03-06 00:01:52.964404+00:00"
"2019-01-04 00:00:00+00:00",36,14,27233,False,"1d",0.38889,"2019-03-06 00:01:52.968494+00:00"
"2019-01-05 00:00:00+00:00",34,11,27234,False,"1d",0.32353,"2019-03-06 00:01:52.971821+00:00"
"2019-01-06 00:00:00+00:00",35,13,27235,False,"1d",0.37143,"2019-03-06 00:01:52.975104+00:00"
"2019-01-07 00:00:00+00:00",37,12,27236,False,"1d",0.32432,"2019-03-06 00:01:52.978324+00:00"
"2019-01-08 00:00:00+00:00",37,12,27237,False,"1d",0.32432,"2019-03-06 00:01:52.981868+00:00"
"2019-01-09 00:00:00+00:00",40,15,27238,False,"1d",0.37500,"2019-03-06 00:01:52.985562+00:00"
"2019-01-10 00:00:00+00:00",44,17,27239,False,"1d",0.38636,"2019-03-06 00:01:52.989254+00:00"
"2019-01-11 00:00:00+00:00",43,12,27240,False,"1d",0.27907,"2019-03-06 00:01:52.993588+00:00"
"2019-01-12 00:00:00+00:00",34,12,27241,False,"1d",0.35294,"2019-03-06 00:01:52.996444+00:00"
"2019-01-13 00:00:00+00:00",28,14,27242,False,"1d",0.50000,"2019-03-06 00:01:53.000136+00:00"
"2019-01-14 00:00:00+00:00",41,12,27243,False,"1d",0.29268,"2019-03-06 00:01:53.004046+00:00"
"2019-01-15 00:00:00+00:00",36,13,27244,False,"1d",0.36111,"2019-03-06 00:01:53.007267+00:00"
"2019-01-16 00:00:00+00:00",35,13,27245,False,"1d",0.37143,"2019-03-06 00:01:53.010467+00:00"
"2019-01-17 00:00:00+00:00",36,12,27246,False,"1d",0.33333,"2019-03-06 00:01:53.013795+00:00"
"2019-01-18 00:00:00+00:00",31,10,27247,False,"1d",0.32258,"2019-03-06 00:01:53.017124+00:00"
