"id","crypto_traded","currency_quoted","data_source","period_close","period_high","period_interval","period_low","period_open","period_start_timestamp","period_volume","search_trend_id","update_timestamp"
9418,"BTC","USD","Nomics https://api.nomics.com/v1/candles",239.9320100000,239.9320100000,"1d",230.5664100000,230.5664100000,"2015-09-11T00:00:00Z",5693749.0000000000,28541,"2019-03-05 23:58:59.759857+00:00"
9419,"BTC","USD","Nomics https://api.nomics.com/v1/candles",236.0020800000,242.5255400000,"1d",236.0020800000,242.5255400000,"2015-09-12T00:00:00Z",4695053.0000000000,28542,"2019-03-05 23:58:59.815857+00:00"
9420,"BTC","USD","Nomics https://api.nomics.com/v1/candles",230.6574200000,235.1653400000,"1d",229.6067500000,234.4230800000,"2015-09-13T00:00:00Z",4877440.0000000000,28543,"2019-03-05 23:58:59.880838+00:00"
9421,"BTC","USD","Nomics https://api.nomics.com/v1/candles",231.4782100000,232.8145400000,"1d",228.4453000000,230.3441900000,"2015-09-14T00:00:00Z",5956607.0000000000,28544,"2019-03-05 23:58:59.944911+00:00"
9422,"BTC","USD","Nomics https://api.nomics.com/v1/candles",231.3308800000,232.7148100000,"1d",230.9640400000,232.7148100000,"2015-09-15T00:00:00Z",5020685.0000000000,28545,"2019-03-05 23:58:59.979443+00:00"
9423,"BTC","USD","Nomics https://api.nomics.com/v1/candles",229.1900900000,231.4569700000,"1d",227.0111000000,230.4203200000,"2015-09-16T00:00:00Z",5423916.0000000000,28546,"2019-03-05 23:59:00.012363+00:00"
9424,"BTC","USD","Nomics https://api.nomics.com/v1/candles",233.3334600000,235.2611900000,"1d",229.1919200000,229.1919200000,"2015-09-17T00:00:00Z",6517192.0000000000,28547,"2019-03-05 23:59:00.047528+00:00"
9425,"BTC","USD","Nomics https://api.nomics.com/v1/candles",234.4606200000,235.3817900000,"1d",230.5313300000,233.4508400000,"2015-09-18T00:00:00Z",4777526.0000000000,28548,"2019-03-05 23:59:00.080918+00:00"
9426,"BTC","USD","Nomics https://api.nomics.com/v1/candles",232.9336800000,235.1065800000,"1d",232.9336800000,235.1065800000,"2015-09-19T00:00:00Z",2563370.0000000000,28549,"2019-03-05 23:59:00.114686+00:00"
9427,"BTC","USD","Nomics https://api.nomics.com/v1/candles",233.3865900000,235.3299700000,"1d",233.3865900000,235.3299700000,"2015-09-20T00:00:00Z",2294249.0000000000,28550,"2019-03-05 23:59:00.148393+00:00"
9428,"BTC","USD","Nomics https://api.nomics.com/v1/candles",227.3162600000,232.1661400000,"1d",226.8073000000,231.6580500000,"2015-09-21T00:00:00Z",5276973.0000000000,28551,"2019-03-05 23:59:00.181635+00:00"
9429,"BTC","USD","Nomics https://api.nomics.com/v1/candles",231.2204500000,233.1963200000,"1d",224.7446000000,227.1773400000,"2015-09-22T00:00:00Z",8381432.0000000000,28192,"2019-03-05 23:59:00.226504+00:00"
9430,"BTC","USD","Nomics https://api.nomics.com/v1/candles",230.2172400000,232.6945400000,"1d",229.5360000000,231.2649400000,"2015-09-23T00:00:00Z",3835599.0000000000,28193,"2019-03-05 23:59:00.262296+00:00"
9431,"BTC","USD","Nomics https://api.nomics.com/v1/candles",235.0220600000,235.0220600000,"1d",229.5665400000,229.5665400000,"2015-09-24T00:00:00Z",7611464.0000000000,28194,"2019-03-05 23:59:00.295834+00:00"
